threshold,accepted,errors,valid_denominator,planned_denominator,coverage_valid,coverage_planned,risk,accepted_scenarios
1.0,13,0,476,480,0.0273109243697479,0.027083333333333334,0.0,2
0.99,43,0,476,480,0.09033613445378151,0.08958333333333333,0.0,3
0.98,57,0,476,480,0.11974789915966387,0.11875,0.0,4
0.97,67,0,476,480,0.1407563025210084,0.13958333333333334,0.0,5
0.96,78,0,476,480,0.1638655462184874,0.1625,0.0,7
0.95,90,0,476,480,0.18907563025210083,0.1875,0.0,8
0.94,101,0,476,480,0.21218487394957983,0.21041666666666667,0.0,8
0.93,119,1,476,480,0.25,0.24791666666666667,0.008403361344537815,11
0.92,131,2,476,480,0.27521008403361347,0.27291666666666664,0.015267175572519083,11
0.91,144,5,476,480,0.3025210084033613,0.3,0.034722222222222224,11
0.9,152,8,476,480,0.31932773109243695,0.31666666666666665,0.05263157894736842,11
0.89,159,10,476,480,0.33403361344537813,0.33125,0.06289308176100629,11
0.88,177,13,476,480,0.37184873949579833,0.36875,0.07344632768361582,11
0.87,192,15,476,480,0.40336134453781514,0.4,0.078125,11
0.86,203,16,476,480,0.4264705882352941,0.42291666666666666,0.07881773399014778,11
0.85,208,17,476,480,0.4369747899159664,0.43333333333333335,0.08173076923076923,11
0.84,221,18,476,480,0.4642857142857143,0.46041666666666664,0.08144796380090498,11
0.83,240,19,476,480,0.5042016806722689,0.5,0.07916666666666666,11
0.8200000000000001,242,19,476,480,0.5084033613445378,0.5041666666666667,0.07851239669421488,11
0.82,255,21,476,480,0.5357142857142857,0.53125,0.08235294117647059,11
0.81,265,23,476,480,0.5567226890756303,0.5520833333333334,0.08679245283018867,12
0.8099999999999999,266,23,476,480,0.5588235294117647,0.5541666666666667,0.08646616541353383,12
0.8,270,23,476,480,0.5672268907563025,0.5625,0.08518518518518518,12
0.79,272,23,476,480,0.5714285714285714,0.5666666666666667,0.08455882352941177,13
0.78,281,26,476,480,0.5903361344537815,0.5854166666666667,0.09252669039145907,13
0.77,292,28,476,480,0.6134453781512605,0.6083333333333333,0.0958904109589041,13
0.76,297,30,476,480,0.6239495798319328,0.61875,0.10101010101010101,13
0.75,300,31,476,480,0.6302521008403361,0.625,0.10333333333333333,13
0.74,310,34,476,480,0.6512605042016807,0.6458333333333334,0.10967741935483871,13
0.73,315,34,476,480,0.6617647058823529,0.65625,0.10793650793650794,13
0.72,322,36,476,480,0.6764705882352942,0.6708333333333333,0.11180124223602485,14
0.71,328,37,476,480,0.6890756302521008,0.6833333333333333,0.11280487804878049,14
0.7,331,39,476,480,0.6953781512605042,0.6895833333333333,0.11782477341389729,14
0.6900000000000001,332,40,476,480,0.6974789915966386,0.6916666666666667,0.12048192771084337,14
0.69,336,42,476,480,0.7058823529411765,0.7,0.125,14
0.68,344,47,476,480,0.7226890756302521,0.7166666666666667,0.13662790697674418,15
0.67,346,47,476,480,0.726890756302521,0.7208333333333333,0.13583815028901733,15
0.66,355,51,476,480,0.7457983193277311,0.7395833333333334,0.14366197183098592,15
0.65,359,53,476,480,0.7542016806722689,0.7479166666666667,0.14763231197771587,15
0.64,364,54,476,480,0.7647058823529411,0.7583333333333333,0.14835164835164835,15
0.63,368,56,476,480,0.773109243697479,0.7666666666666667,0.15217391304347827,15
0.62,374,60,476,480,0.7857142857142857,0.7791666666666667,0.16042780748663102,15
0.61,379,65,476,480,0.7962184873949579,0.7895833333333333,0.17150395778364116,15
0.6,390,72,476,480,0.819327731092437,0.8125,0.18461538461538463,15
0.59,397,76,476,480,0.8340336134453782,0.8270833333333333,0.19143576826196473,15
0.58,402,79,476,480,0.8445378151260504,0.8375,0.19651741293532338,15
0.5700000000000001,403,80,476,480,0.8466386554621849,0.8395833333333333,0.19851116625310175,15
0.57,404,81,476,480,0.8487394957983193,0.8416666666666667,0.2004950495049505,15
0.56,410,82,476,480,0.8613445378151261,0.8541666666666666,0.2,15
0.55,419,85,476,480,0.8802521008403361,0.8729166666666667,0.20286396181384247,15
0.54,423,88,476,480,0.8886554621848739,0.88125,0.20803782505910165,15
0.53,429,91,476,480,0.9012605042016807,0.89375,0.21212121212121213,15
0.52,437,94,476,480,0.9180672268907563,0.9104166666666667,0.2151029748283753,15
0.51,445,99,476,480,0.9348739495798319,0.9270833333333334,0.22247191011235956,15
0.5,448,101,476,480,0.9411764705882353,0.9333333333333333,0.22544642857142858,15
0.49,453,104,476,480,0.9516806722689075,0.94375,0.22958057395143489,15
0.48,455,105,476,480,0.9558823529411765,0.9479166666666666,0.23076923076923078,15
0.47,458,107,476,480,0.9621848739495799,0.9541666666666667,0.2336244541484716,15
0.46,460,109,476,480,0.9663865546218487,0.9583333333333334,0.23695652173913043,15
0.45,461,110,476,480,0.9684873949579832,0.9604166666666667,0.2386117136659436,15
0.44,463,112,476,480,0.9726890756302521,0.9645833333333333,0.24190064794816415,15
0.43,465,114,476,480,0.976890756302521,0.96875,0.24516129032258063,15
0.42,466,115,476,480,0.9789915966386554,0.9708333333333333,0.24678111587982832,15
0.41,468,117,476,480,0.9831932773109243,0.975,0.25,15
0.38,471,120,476,480,0.9894957983193278,0.98125,0.25477707006369427,15
0.37,473,121,476,480,0.9936974789915967,0.9854166666666667,0.2558139534883721,15
0.36,475,122,476,480,0.9978991596638656,0.9895833333333334,0.25684210526315787,15
0.34,476,123,476,480,1.0,0.9916666666666667,0.25840336134453784,15
