role,round,cohort,planned,scenarios,correct,undertriage,overtriage,technical_failure,agreement_full_plan
jev,1,main_full,960,30,790,17,146,7,0.8229166666666666
jev,2,main_full,960,30,792,20,145,3,0.825
jev,3,main_full,960,30,790,17,149,4,0.8229166666666666
luna,1,main_full,960,30,740,36,184,0,0.7708333333333334
luna,2,main_full,960,30,744,30,186,0,0.775
luna,3,main_full,960,30,743,31,186,0,0.7739583333333333
gemini,1,main_full,960,30,737,46,177,0,0.7677083333333333
gemini,2,main_full,960,30,732,47,181,0,0.7625
gemini,3,main_full,960,30,737,47,176,0,0.7677083333333333
deepseek,1,main_full,960,30,749,21,189,1,0.7802083333333333
deepseek,2,main_full,960,30,733,29,198,0,0.7635416666666667
deepseek,3,main_full,960,30,738,29,193,0,0.76875
jev,1,sensitivity_main_full,784,28,,,,,0.8627232142857143
jev,2,sensitivity_main_full,784,28,,,,,0.8683035714285714
jev,3,sensitivity_main_full,784,28,,,,,0.8649553571428571
luna,1,sensitivity_main_full,784,28,,,,,0.8325892857142857
luna,2,sensitivity_main_full,784,28,,,,,0.8270089285714286
luna,3,sensitivity_main_full,784,28,,,,,0.8303571428571429
gemini,1,sensitivity_main_full,784,28,,,,,0.8035714285714286
gemini,2,sensitivity_main_full,784,28,,,,,0.8013392857142857
gemini,3,sensitivity_main_full,784,28,,,,,0.8069196428571429
deepseek,1,sensitivity_main_full,784,28,,,,,0.8203125
deepseek,2,sensitivity_main_full,784,28,,,,,0.8046875
deepseek,3,sensitivity_main_full,784,28,,,,,0.8046875
