role,round,cohort,planned,scenarios,correct,undertriage,overtriage,technical_failure,agreement_full_plan
jev,1,main_clear,480,15,353,9,114,4,0.7354166666666667
jev,2,main_clear,480,15,354,12,113,1,0.7375
jev,3,main_clear,480,15,350,9,117,4,0.7291666666666666
luna,1,main_clear,480,15,301,25,154,0,0.6270833333333333
luna,2,main_clear,480,15,304,20,156,0,0.6333333333333333
luna,3,main_clear,480,15,306,19,155,0,0.6375
gemini,1,main_clear,480,15,285,46,149,0,0.59375
gemini,2,main_clear,480,15,281,46,153,0,0.5854166666666667
gemini,3,main_clear,480,15,285,47,148,0,0.59375
deepseek,1,main_clear,480,15,292,17,170,1,0.6083333333333333
deepseek,2,main_clear,480,15,288,21,171,0,0.6
deepseek,3,main_clear,480,15,285,23,172,0,0.59375
jev,1,main_edge,480,15,437,8,32,3,0.9104166666666667
jev,2,main_edge,480,15,438,8,32,2,0.9125
jev,3,main_edge,480,15,440,8,32,0,0.9166666666666666
luna,1,main_edge,480,15,439,11,30,0,0.9145833333333333
luna,2,main_edge,480,15,440,10,30,0,0.9166666666666666
luna,3,main_edge,480,15,437,12,31,0,0.9104166666666667
gemini,1,main_edge,480,15,452,0,28,0,0.9416666666666667
gemini,2,main_edge,480,15,451,1,28,0,0.9395833333333333
gemini,3,main_edge,480,15,452,0,28,0,0.9416666666666667
deepseek,1,main_edge,480,15,457,4,19,0,0.9520833333333333
deepseek,2,main_edge,480,15,445,8,27,0,0.9270833333333334
deepseek,3,main_edge,480,15,453,6,21,0,0.94375
