round,role,cohort,factor,factor_label,baseline_level,changed_level,mask,planned_pairs,lost_selection_pairs,selected_pairs,valid_pairs,invalid_pairs,missing_pairs,prediction_changed,lowered,correct_to_wrong,changed_rate,lowered_rate,correct_to_wrong_rate,baseline_correct,changed_correct,baseline_accuracy,changed_accuracy,accuracy_difference
1,deepseek,main,information_level,information_level,subjective,objective,all,480,0,480,479,1,0,142,52,10,0.2964509394572025,0.10855949895615867,0.020876826722338204,357,392,0.7453027139874739,0.8183716075156576,0.07306889352818371
1,deepseek,main,information_level,information_level,subjective,objective,exclude_ai_flags,480,144,336,335,1,0,94,42,8,0.28059701492537314,0.1253731343283582,0.023880597014925373,283,300,0.844776119402985,0.8955223880597015,0.050746268656716415
1,gemini,main,information_level,information_level,subjective,objective,all,480,0,480,480,0,0,152,96,7,0.31666666666666665,0.2,0.014583333333333334,353,384,0.7354166666666667,0.8,0.06458333333333334
1,gemini,main,information_level,information_level,subjective,objective,exclude_ai_flags,480,144,336,336,0,0,108,69,5,0.32142857142857145,0.20535714285714285,0.01488095238095238,291,307,0.8660714285714286,0.9136904761904762,0.047619047619047616
1,jev,main,information_level,information_level,subjective,objective,all,480,0,480,473,7,0,117,53,10,0.24735729386892177,0.11205073995771671,0.021141649048625793,378,405,0.7991543340380549,0.8562367864693446,0.05708245243128964
1,jev,main,information_level,information_level,subjective,objective,exclude_ai_flags,480,144,336,329,7,0,61,25,0,0.18541033434650456,0.07598784194528875,0.0,297,309,0.9027355623100304,0.939209726443769,0.0364741641337386
1,luna,main,information_level,information_level,subjective,objective,all,480,0,480,480,0,0,129,70,7,0.26875,0.14583333333333334,0.014583333333333334,338,402,0.7041666666666667,0.8375,0.13333333333333333
1,luna,main,information_level,information_level,subjective,objective,exclude_ai_flags,480,144,336,336,0,0,81,58,7,0.24107142857142858,0.17261904761904762,0.020833333333333332,281,307,0.8363095238095238,0.9136904761904762,0.07738095238095238
2,deepseek,main,information_level,information_level,subjective,objective,all,480,0,480,480,0,0,161,59,24,0.33541666666666664,0.12291666666666666,0.05,354,379,0.7375,0.7895833333333333,0.052083333333333336
2,deepseek,main,information_level,information_level,subjective,objective,exclude_ai_flags,480,144,336,336,0,0,94,43,17,0.27976190476190477,0.12797619047619047,0.050595238095238096,286,291,0.8511904761904762,0.8660714285714286,0.01488095238095238
2,gemini,main,information_level,information_level,subjective,objective,all,480,0,480,480,0,0,148,100,4,0.30833333333333335,0.20833333333333334,0.008333333333333333,347,385,0.7229166666666667,0.8020833333333334,0.07916666666666666
2,gemini,main,information_level,information_level,subjective,objective,exclude_ai_flags,480,144,336,336,0,0,104,71,3,0.30952380952380953,0.2113095238095238,0.008928571428571428,288,308,0.8571428571428571,0.9166666666666666,0.05952380952380952
2,jev,main,information_level,information_level,subjective,objective,all,480,0,480,477,3,0,125,55,11,0.2620545073375262,0.11530398322851153,0.023060796645702306,380,409,0.7966457023060797,0.8574423480083857,0.06079664570230608
2,jev,main,information_level,information_level,subjective,objective,exclude_ai_flags,480,144,336,334,2,0,68,29,0,0.20359281437125748,0.08682634730538923,0.0,302,314,0.9041916167664671,0.9401197604790419,0.03592814371257485
2,luna,main,information_level,information_level,subjective,objective,all,480,0,480,480,0,0,117,69,8,0.24375,0.14375,0.016666666666666666,345,399,0.71875,0.83125,0.1125
2,luna,main,information_level,information_level,subjective,objective,exclude_ai_flags,480,144,336,336,0,0,71,54,6,0.2113095238095238,0.16071428571428573,0.017857142857142856,280,305,0.8333333333333334,0.9077380952380952,0.0744047619047619
3,deepseek,main,information_level,information_level,subjective,objective,all,480,0,480,480,0,0,179,71,28,0.3729166666666667,0.14791666666666667,0.058333333333333334,360,378,0.75,0.7875,0.0375
3,deepseek,main,information_level,information_level,subjective,objective,exclude_ai_flags,480,144,336,336,0,0,105,53,18,0.3125,0.15773809523809523,0.05357142857142857,290,293,0.8630952380952381,0.8720238095238095,0.008928571428571428
3,gemini,main,information_level,information_level,subjective,objective,all,480,0,480,480,0,0,153,102,3,0.31875,0.2125,0.00625,350,387,0.7291666666666666,0.80625,0.07708333333333334
3,gemini,main,information_level,information_level,subjective,objective,exclude_ai_flags,480,144,336,336,0,0,107,72,3,0.31845238095238093,0.21428571428571427,0.008928571428571428,291,310,0.8660714285714286,0.9226190476190477,0.05654761904761905
3,jev,main,information_level,information_level,subjective,objective,all,480,0,480,476,4,0,128,60,9,0.2689075630252101,0.12605042016806722,0.018907563025210083,378,409,0.7941176470588235,0.8592436974789915,0.06512605042016807
3,jev,main,information_level,information_level,subjective,objective,exclude_ai_flags,480,144,336,334,2,0,74,34,0,0.2215568862275449,0.10179640718562874,0.0,299,314,0.8952095808383234,0.9401197604790419,0.04491017964071856
3,luna,main,information_level,information_level,subjective,objective,all,480,0,480,480,0,0,126,74,10,0.2625,0.15416666666666667,0.020833333333333332,347,396,0.7229166666666667,0.825,0.10208333333333333
3,luna,main,information_level,information_level,subjective,objective,exclude_ai_flags,480,144,336,336,0,0,70,53,8,0.20833333333333334,0.15773809523809523,0.023809523809523808,285,301,0.8482142857142857,0.8958333333333334,0.047619047619047616
