factor,factor_label,role,round,planned_pairs,valid_pairs,prediction_changed,lowered,correct_to_wrong,changed_pct,lowered_pct,correct_to_wrong_pct
anchor_type,Anchoring,jev,1,480,473,97,70,6,20.507399577167018,14.799154334038056,1.2684989429175475
anchor_type,Anchoring,jev,2,480,477,89,67,8,18.658280922431867,14.046121593291405,1.6771488469601676
anchor_type,Anchoring,jev,3,480,476,89,65,9,18.69747899159664,13.655462184873949,1.8907563025210083
anchor_type,Anchoring,luna,1,480,480,93,44,14,19.375,9.166666666666666,2.9166666666666665
anchor_type,Anchoring,luna,2,480,480,100,54,14,20.833333333333332,11.25,2.9166666666666665
anchor_type,Anchoring,luna,3,480,480,97,47,12,20.208333333333332,9.791666666666666,2.5
anchor_type,Anchoring,gemini,1,480,480,118,76,28,24.583333333333332,15.833333333333334,5.833333333333333
anchor_type,Anchoring,gemini,2,480,480,123,80,26,25.625,16.666666666666668,5.416666666666667
anchor_type,Anchoring,gemini,3,480,480,115,68,31,23.958333333333332,14.166666666666666,6.458333333333333
anchor_type,Anchoring,deepseek,1,480,479,133,50,21,27.76617954070981,10.438413361169102,4.384133611691023
anchor_type,Anchoring,deepseek,2,480,480,144,71,30,30.0,14.791666666666666,6.25
anchor_type,Anchoring,deepseek,3,480,480,148,70,26,30.833333333333332,14.583333333333334,5.416666666666667
barrier_type,Access barrier,jev,1,480,473,47,5,8,9.936575052854122,1.0570824524312896,1.6913319238900635
barrier_type,Access barrier,jev,2,480,477,60,9,10,12.578616352201259,1.8867924528301887,2.0964360587002098
barrier_type,Access barrier,jev,3,480,476,55,7,10,11.554621848739496,1.4705882352941178,2.100840336134454
barrier_type,Access barrier,luna,1,480,480,66,19,16,13.75,3.9583333333333335,3.3333333333333335
barrier_type,Access barrier,luna,2,480,480,73,15,18,15.208333333333334,3.125,3.75
barrier_type,Access barrier,luna,3,480,480,81,22,16,16.875,4.583333333333333,3.3333333333333335
barrier_type,Access barrier,gemini,1,480,480,64,18,15,13.333333333333334,3.75,3.125
barrier_type,Access barrier,gemini,2,480,480,61,18,15,12.708333333333334,3.75,3.125
barrier_type,Access barrier,gemini,3,480,480,69,28,11,14.375,5.833333333333333,2.2916666666666665
barrier_type,Access barrier,deepseek,1,480,479,117,54,28,24.4258872651357,11.273486430062631,5.845511482254698
barrier_type,Access barrier,deepseek,2,480,480,121,55,27,25.208333333333332,11.458333333333334,5.625
barrier_type,Access barrier,deepseek,3,480,480,119,58,34,24.791666666666668,12.083333333333334,7.083333333333333
gender,Gender wording,jev,1,480,473,20,16,2,4.2283298097251585,3.382663847780127,0.42283298097251587
gender,Gender wording,jev,2,480,477,28,19,6,5.870020964360587,3.9832285115303985,1.2578616352201257
gender,Gender wording,jev,3,480,476,24,19,2,5.042016806722689,3.991596638655462,0.42016806722689076
gender,Gender wording,luna,1,480,480,48,24,7,10.0,5.0,1.4583333333333333
gender,Gender wording,luna,2,480,480,53,36,11,11.041666666666666,7.5,2.2916666666666665
gender,Gender wording,luna,3,480,480,57,33,12,11.875,6.875,2.5
gender,Gender wording,gemini,1,480,480,49,23,10,10.208333333333334,4.791666666666667,2.0833333333333335
gender,Gender wording,gemini,2,480,480,50,24,13,10.416666666666666,5.0,2.7083333333333335
gender,Gender wording,gemini,3,480,480,51,27,10,10.625,5.625,2.0833333333333335
gender,Gender wording,deepseek,1,480,479,96,40,26,20.041753653444676,8.350730688935283,5.427974947807933
gender,Gender wording,deepseek,2,480,480,112,68,28,23.333333333333332,14.166666666666666,5.833333333333333
gender,Gender wording,deepseek,3,480,480,120,60,28,25.0,12.5,5.833333333333333
race,Explicit Black wording,jev,1,480,473,24,10,6,5.07399577167019,2.1141649048625792,1.2684989429175475
race,Explicit Black wording,jev,2,480,477,22,8,7,4.612159329140461,1.6771488469601676,1.4675052410901468
race,Explicit Black wording,jev,3,480,476,30,11,7,6.302521008403361,2.310924369747899,1.4705882352941178
race,Explicit Black wording,luna,1,480,480,62,24,18,12.916666666666666,5.0,3.75
race,Explicit Black wording,luna,2,480,480,57,19,13,11.875,3.9583333333333335,2.7083333333333335
race,Explicit Black wording,luna,3,480,480,67,31,20,13.958333333333334,6.458333333333333,4.166666666666667
race,Explicit Black wording,gemini,1,480,480,40,10,9,8.333333333333334,2.0833333333333335,1.875
race,Explicit Black wording,gemini,2,480,480,53,16,17,11.041666666666666,3.3333333333333335,3.5416666666666665
race,Explicit Black wording,gemini,3,480,480,57,20,15,11.875,4.166666666666667,3.125
race,Explicit Black wording,deepseek,1,480,479,101,45,22,21.085594989561585,9.394572025052192,4.592901878914405
race,Explicit Black wording,deepseek,2,480,480,130,64,33,27.083333333333332,13.333333333333334,6.875
race,Explicit Black wording,deepseek,3,480,480,102,46,22,21.25,9.583333333333334,4.583333333333333
