role,round,cohort,planned,scenarios,correct,undertriage,overtriage,technical_failure,agreement_full_plan
jev,1,main_clear,480,15,353,9,114,4,0.7354166666666667
luna,1,main_clear,480,15,301,25,154,0,0.6270833333333333
gemini,1,main_clear,480,15,285,46,149,0,0.59375
deepseek,1,main_clear,480,15,292,17,170,1,0.6083333333333333
jev,1,main_full,960,30,790,17,146,7,0.8229166666666666
luna,1,main_full,960,30,740,36,184,0,0.7708333333333334
gemini,1,main_full,960,30,737,46,177,0,0.7677083333333333
deepseek,1,main_full,960,30,749,21,189,1,0.7802083333333333
jev,1,main_edge,480,15,437,8,32,3,0.9104166666666667
luna,1,main_edge,480,15,439,11,30,0,0.9145833333333333
gemini,1,main_edge,480,15,452,0,28,0,0.9416666666666667
deepseek,1,main_edge,480,15,457,4,19,0,0.9520833333333333
