variant_id,scenario_id,confidence,prediction,reference,correct,p_A,p_B,p_C,p_D
E13_variant01,s013,1.0,D,D,True,0.0,0.0,0.0,1.0
E13_variant02,s013,1.0,D,D,True,0.0,0.0,0.0,1.0
E13_variant03,s013,0.99,D,D,True,0.0,0.0,0.01,0.99
E13_variant04,s013,0.99,D,D,True,0.0,0.0,0.01,0.99
E13_variant05,s013,1.0,D,D,True,0.0,0.0,0.0,1.0
E13_variant06,s013,0.99,D,D,True,0.0,0.0,0.01,0.99
E13_variant07,s013,0.99,D,D,True,0.0,0.0,0.01,0.99
E13_variant08,s013,0.99,D,D,True,0.0,0.0,0.01,0.99
E13_variant09,s013,0.99,D,D,True,0.0,0.0,0.01,0.99
E13_variant10,s013,1.0,D,D,True,0.0,0.0,0.0,1.0
E13_variant11,s013,0.99,D,D,True,0.0,0.0,0.01,0.99
E13_variant12,s013,0.99,D,D,True,0.0,0.0,0.01,0.99
E13_variant13,s013,1.0,D,D,True,0.0,0.0,0.0,1.0
E13_variant14,s013,1.0,D,D,True,0.0,0.0,0.0,1.0
E13_variant15,s013,0.99,D,D,True,0.0,0.0,0.01,0.99
E13_variant16,s013,0.99,D,D,True,0.0,0.0,0.01,0.99
E17_variant01,s017,0.48,B,A,False,0.17,0.48,0.35,0.0
E17_variant02,s017,0.49,B,A,False,0.17,0.49,0.34,0.0
E17_variant03,s017,0.43,C,A,False,0.18,0.39,0.43,0.0
E17_variant04,s017,0.41,B,A,False,0.18,0.41,0.41,0.0
E17_variant05,s017,0.51,B,A,False,0.18,0.51,0.31,0.0
E17_variant06,s017,0.47,B,A,False,0.2,0.47,0.33,0.0
E17_variant07,s017,0.46,B,A,False,0.17,0.46,0.37,0.0
E17_variant08,s017,0.43,B,A,False,0.19,0.43,0.38,0.0
E17_variant09,s017,0.51,B,A,False,0.16,0.51,0.33,0.0
E17_variant10,s017,0.46,B,A,False,0.16,0.46,0.38,0.0
E17_variant11,s017,0.44,B,A,False,0.17,0.44,0.39,0.0
E17_variant12,s017,0.44,C,A,False,0.17,0.39,0.44,0.0
