cell_id,concurrency,measured_requests,order,role,warmup_requests,wave,planned,valid_outputs,failed,effective_outputs_per_second,measured_walltime_s,known_usd,unknown_requests,cost_status_counts,valid_http_p50_ms,valid_http_p95_ms,all_attempt_http_p50_ms,all_attempt_http_p95_ms,admission_wait_p50_ms,admission_wait_p95_ms,known_usd_per_1000_planned,peak_http_inflight,started_at,ended_at,single_grade_agreement_pct,http_p50_s,point_type
w1_jev_c1,1,200,5,jev,5,1,200,199,1,2.0203000561826157,98.50022,0.005742534,0,{'provider_reported': 200},404.33,757.7258999999997,403.8135,754.9844499999991,0.033,0.04,0.02871267,1,2026-09-23T01:52:40.964125+00:00,2026-09-23T01:54:19.465273+00:00,73.54166666666667,0.40432999999999997,block
w2_jev_c1,1,200,36,jev,5,2,200,200,0,2.153313417481089,92.880116,0.005833464,0,{'provider_reported': 200},404.0,538.5437999999997,404.0,538.5437999999997,0.029,0.036,0.02916732,1,2026-09-23T02:20:53.850320+00:00,2026-09-23T02:22:26.731615+00:00,73.54166666666667,0.404,block
w3_jev_c1,1,200,54,jev,5,3,200,197,3,1.5409327830883988,127.84464200000001,0.005714352,1,"{'provider_reported': 199, 'unknown': 1}",381.316,486.4798,382.039,486.8447999999999,0.028,0.036,0.02857176,1,2026-09-23T02:40:48.150781+00:00,2026-09-23T02:42:55.996970+00:00,73.54166666666667,0.381316,block
w1_luna_c1,1,200,9,luna,5,1,200,200,0,0.7335004232627518,272.665146,0.0171430,0,{'provider_reported': 200},1294.7945,1686.1016499999996,1294.7945,1686.1016499999996,0.002,0.003,0.085715,1,2026-09-23T01:56:15.900131+00:00,2026-09-23T02:00:48.567454+00:00,62.708333333333336,1.2947945,block
w2_luna_c1,1,200,37,luna,5,2,200,200,0,0.7131248285647911,280.45580800000005,0.0175386,0,{'provider_reported': 200},1243.879,1766.738399999998,1243.879,1766.738399999998,0.001,0.002,0.087693,1,2026-09-23T02:22:34.109764+00:00,2026-09-23T02:27:14.568902+00:00,62.708333333333336,1.243879,block
w3_luna_c1,1,200,47,luna,5,3,200,200,0,0.7920237662571541,252.517675,0.0171462,0,{'provider_reported': 200},1169.9344999999998,1537.4551999999999,1169.9344999999998,1537.4551999999999,0.001,0.002,0.085731,1,2026-09-23T02:34:15.385808+00:00,2026-09-23T02:38:27.907828+00:00,62.708333333333336,1.1699344999999999,block
w1_gemini_c1,1,200,10,gemini,5,1,200,200,0,1.2327050556168169,162.244812,0.02123650,0,{'provider_reported': 200},753.4535,971.0222499999999,753.4535,971.0222499999999,0.002,0.003,0.1061825,1,2026-09-23T02:00:53.915971+00:00,2026-09-23T02:03:36.166065+00:00,59.375,0.7534535,block
w2_gemini_c1,1,200,33,gemini,5,2,200,200,0,1.2448382780799414,160.66344,0.02180225,0,{'provider_reported': 200},731.952,980.90055,731.952,980.90055,0.001,0.002,0.10901125,1,2026-09-23T02:16:50.552019+00:00,2026-09-23T02:19:31.217432+00:00,59.375,0.731952,block
w3_gemini_c1,1,200,46,gemini,5,3,200,200,0,1.2614194012068594,158.551549,0.02119450,0,{'provider_reported': 200},732.3695,842.4049499999999,732.3695,842.4049499999999,0.001,0.002,0.1059725,1,2026-09-23T02:31:30.654491+00:00,2026-09-23T02:34:09.214077+00:00,59.375,0.7323695,block
w1_deepseek_c1,1,200,0,deepseek,5,1,200,200,0,0.939485202694684,212.882544,0.0238317,0,{'estimated_upper_peak_uncached': 200},1023.8625000000001,1235.8564000000001,1023.8625000000001,1235.8564000000001,0.002,0.003,0.1191585,1,2026-09-23T01:46:57.678581+00:00,2026-09-23T01:50:30.620055+00:00,60.83333333333333,1.0238625000000001,block
w2_deepseek_c1,1,200,31,deepseek,5,2,200,200,0,0.8986660277870142,222.552087,0.0244179,0,{'estimated_upper_peak_uncached': 200},1052.2365,1314.52665,1052.2365,1314.52665,0.001,0.003,0.1220895,1,2026-09-23T02:12:52.428608+00:00,2026-09-23T02:16:34.983330+00:00,60.83333333333333,1.0522365,block
w3_deepseek_c1,1,200,55,deepseek,5,3,200,200,0,0.9398894986954616,212.790972,0.0238332,0,{'estimated_upper_peak_uncached': 200},1008.727,1238.41905,1008.727,1238.41905,0.001,0.002,0.119166,1,2026-09-23T02:43:02.102210+00:00,2026-09-23T02:46:34.895941+00:00,60.83333333333333,1.008727,block
