cell_id,concurrency,measured_requests,order,role,warmup_requests,wave,planned,valid_outputs,failed,effective_outputs_per_second,measured_walltime_s,known_usd,unknown_requests,cost_status_counts,valid_http_p50_ms,valid_http_p95_ms,all_attempt_http_p50_ms,all_attempt_http_p95_ms,admission_wait_p50_ms,admission_wait_p95_ms,known_usd_per_1000_planned,peak_http_inflight,started_at,ended_at,failure_percent
w1_deepseek_c1,1,200,0,deepseek,5,1,200,200,0,0.939485202694684,212.882544,0.0238317,0,{'estimated_upper_peak_uncached': 200},1023.8625000000001,1235.8564000000001,1023.8625000000001,1235.8564000000001,0.002,0.003,0.1191585,1,2026-09-23T01:46:57.678581+00:00,2026-09-23T01:50:30.620055+00:00,0.0
w1_luna_c8,8,200,1,luna,5,1,200,200,0,5.5960679787953795,35.73938,0.0171430,0,{'provider_reported': 200},1282.1105,1862.4957499999994,1282.1105,1862.4957499999994,0.001,0.003,0.085715,8,2026-09-23T01:50:38.323139+00:00,2026-09-23T01:51:14.062926+00:00,0.0
w1_deepseek_c8,8,200,2,deepseek,5,1,200,200,0,7.162296639120951,27.924004,0.0238317,0,{'estimated_upper_peak_uncached': 200},1040.8025,1328.8904999999997,1040.8025,1328.8904999999997,0.001,0.002,0.1191585,8,2026-09-23T01:51:19.575693+00:00,2026-09-23T01:51:47.499923+00:00,0.0
w1_jev_c4,4,200,3,jev,5,1,200,199,1,7.677326666893258,25.920481,0.005742534,0,{'provider_reported': 200},401.975,822.6447999999995,402.11800000000005,818.0223999999984,0.032,44.39669999999993,0.02871267,4,2026-09-23T01:51:50.821373+00:00,2026-09-23T01:52:16.742212+00:00,0.5
w1_deepseek_c16,16,200,4,deepseek,5,1,200,199,1,13.49040320510287,14.751227,0.0242961,0,{'estimated_upper_peak_uncached': 200},1028.778,1672.5651,1030.2675,1683.3700999999996,0.001,0.002,0.1214805,16,2026-09-23T01:52:22.901286+00:00,2026-09-23T01:52:37.652899+00:00,0.5
w1_jev_c1,1,200,5,jev,5,1,200,199,1,2.0203000561826157,98.50022,0.005742534,0,{'provider_reported': 200},404.33,757.7258999999997,403.8135,754.9844499999991,0.033,0.04,0.02871267,1,2026-09-23T01:52:40.964125+00:00,2026-09-23T01:54:19.465273+00:00,0.5
w1_jev_c8,8,200,6,jev,5,1,200,200,0,12.67202752567131,15.782793999999999,0.005742534,0,{'provider_reported': 200},431.9735,1106.360499999999,431.9735,1106.360499999999,41.7735,167.00694999999996,0.02871267,8,2026-09-23T01:54:21.981195+00:00,2026-09-23T01:54:37.764260+00:00,0.0
w1_luna_c32,32,200,7,luna,5,1,200,200,0,19.448510263562323,10.283564,0.0171430,0,{'provider_reported': 200},1291.718,2105.7196999999996,1291.718,2105.7196999999996,0.001,0.002,0.085715,32,2026-09-23T01:54:44.826451+00:00,2026-09-23T01:54:55.110280+00:00,0.0
w1_luna_c4,4,200,8,luna,5,1,200,200,0,2.957182175625837,67.631951,0.0171430,0,{'provider_reported': 200},1249.2915,1724.2368499999993,1249.2915,1724.2368499999993,0.002,0.003,0.085715,4,2026-09-23T01:55:01.312539+00:00,2026-09-23T01:56:08.945100+00:00,0.0
w1_luna_c1,1,200,9,luna,5,1,200,200,0,0.7335004232627518,272.665146,0.0171430,0,{'provider_reported': 200},1294.7945,1686.1016499999996,1294.7945,1686.1016499999996,0.002,0.003,0.085715,1,2026-09-23T01:56:15.900131+00:00,2026-09-23T02:00:48.567454+00:00,0.0
w1_gemini_c1,1,200,10,gemini,5,1,200,200,0,1.2327050556168169,162.244812,0.02123650,0,{'provider_reported': 200},753.4535,971.0222499999999,753.4535,971.0222499999999,0.002,0.003,0.1061825,1,2026-09-23T02:00:53.915971+00:00,2026-09-23T02:03:36.166065+00:00,0.0
w1_gemini_c4,4,200,11,gemini,5,1,200,200,0,4.95419978538902,40.369789,0.02120050,0,{'provider_reported': 200},749.7375,936.5633499999997,749.7375,936.5633499999997,0.001,0.002,0.1060025,4,2026-09-23T02:03:40.104481+00:00,2026-09-23T02:04:20.487296+00:00,0.0
w1_jev_c32,32,200,12,jev,5,1,200,199,1,15.73108974792233,12.650109,0.005742534,0,{'provider_reported': 200},417.907,1116.4479999999999,418.446,1115.4149999999997,1439.7465,1557.8466500000002,0.02871267,14,2026-09-23T02:04:22.969472+00:00,2026-09-23T02:04:35.620542+00:00,0.5
w1_luna_c16,16,200,13,luna,5,1,200,200,0,10.203875472720041,19.600396,0.0171430,0,{'provider_reported': 200},1325.6080000000002,2109.0182,1325.6080000000002,2109.0182,0.001,0.002,0.085715,16,2026-09-23T02:04:42.968518+00:00,2026-09-23T02:05:02.569499+00:00,0.0
w1_gemini_c8,8,200,14,gemini,5,1,200,200,0,9.733674024902438,20.547226,0.02119600,0,{'provider_reported': 200},756.7415,934.3082999999999,756.7415,934.3082999999999,0.001,0.002,0.10598,8,2026-09-23T02:05:06.637983+00:00,2026-09-23T02:05:27.185518+00:00,0.0
w1_deepseek_c4,4,200,15,deepseek,5,1,200,199,1,3.707400132747281,53.676429,0.0238413,0,{'estimated_upper_peak_uncached': 200},988.749,1268.6988,989.5345,1268.5488999999998,0.001,0.003,0.1192065,4,2026-09-23T02:05:33.407016+00:00,2026-09-23T02:06:27.084243+00:00,0.5
w1_jev_c16,16,200,16,jev,5,1,200,200,0,15.441690247414481,12.95195,0.005742534,0,{'provider_reported': 200},422.573,1324.2163500000001,422.573,1324.2163500000001,483.4405,581.82925,0.02871267,16,2026-09-23T02:06:30.586234+00:00,2026-09-23T02:06:43.538566+00:00,0.0
w1_gemini_c16,16,200,17,gemini,5,1,200,200,0,16.87579574650631,11.851293,0.02119450,0,{'provider_reported': 200},778.3779999999999,1484.7441499999998,778.3779999999999,1484.7441499999998,0.001,0.002,0.1059725,16,2026-09-23T02:06:47.897949+00:00,2026-09-23T02:06:59.749611+00:00,0.0
w1_gemini_c32,32,200,18,gemini,5,1,200,200,0,30.23622656730236,6.614582,0.02122150,0,{'provider_reported': 200},784.5535,1571.1069,784.5535,1571.1069,0.001,0.001,0.1061075,32,2026-09-23T02:07:04.149714+00:00,2026-09-23T02:07:10.764598+00:00,0.0
w1_deepseek_c32,32,200,19,deepseek,5,1,200,200,0,23.624465496468144,8.4658,0.0238317,0,{'estimated_upper_peak_uncached': 200},1064.4735,1851.0363999999997,1064.4735,1851.0363999999997,0.001,0.001,0.1191585,32,2026-09-23T02:07:17.133345+00:00,2026-09-23T02:07:25.599423+00:00,0.0
w2_gemini_c4,4,200,20,gemini,5,2,200,200,0,4.676610512421826,42.766016,0.02174675,0,{'provider_reported': 200},770.0475,986.2425499999993,770.0475,986.2425499999993,0.001,0.002,0.10873375,4,2026-09-23T02:07:30.271749+00:00,2026-09-23T02:08:13.038513+00:00,0.0
w2_luna_c4,4,200,21,luna,5,2,200,200,0,2.814376199495931,71.063705,0.0175386,0,{'provider_reported': 200},1324.8020000000001,1779.0643,1324.8020000000001,1779.0643,0.001,0.002,0.087693,4,2026-09-23T02:08:20.259128+00:00,2026-09-23T02:09:31.323822+00:00,0.0
